Name,Type,Cat.,Power,Acc.,PP,Effect
Apple Acid,Grass,special,80,100,10,Lowers target's Special Defense.
Astral Barrage,Ghost,special,120,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokemon.
Aura Wheel,Electric,physical,110,100,10,Changes type based on Morpeko's Mode.
Barb Barrage,Poison,physical,60,100,10,Inflicts double damage if the target has a status condition.
Behemoth Bash,Steel,physical,100,100,5,Damage doubles if target is Dynamaxed.
Behemoth Blade,Steel,physical,100,100,5,Damage doubles if target is Dynamaxed.
Bitter Malice,Ghost,special,75,100,10,Inflicts double damage if the target has a status condition.
Bleakwind Storm,Flying,special,100,80,10,May cause frostbite.
Body Press,Fighting,physical,80,100,10,"The higher the user's Defense, the stronger the attack."
Bolt Beak,Electric,physical,85,100,10,"If the user attacks before the target, the power of this move is doubled."
Branch Poke,Grass,physical,40,100,40,
Breaking Swipe,Dragon,physical,60,100,15,Hits multiple opponents and lowers their attack.
Burning Jealousy,Fire,special,70,100,5,"Hits all opponents, and burns any that have had their stats boosted."
Ceaseless Edge,Dark,physical,65,90,15,High critical hit ratio. Damages target with splinters each turn.
Chloroblast,Grass,special,150,95,5,User receives recoil damage.
Clangorous Soul,Dragon,status,0,100,5,Raises all user's stats but loses HP.
Coaching,Fighting,status,0,0,10,Boosts Attack and Defense of a teammate.
Corrosive Gas,Poison,status,0,100,40,Removes opponent's items.
Court Change,Normal,status,0,100,10,Swaps the effects on either side of the field.
Decorate,Fairy,status,0,0,15,Sharply raises target's Attack and Special Attack.
Dire Claw,Poison,physical,80,100,15,"High critical hit ratio. May poison, paralyze or make the opponent drowsy."
Dragon Darts,Dragon,physical,50,100,10,User attacks twice.
Dragon Energy,Dragon,special,150,100,5,"The higher the user's HP, the higher the power."
Drum Beating,Grass,physical,80,100,10,Lowers opponent's Speed.
Dual Wingbeat,Flying,physical,40,90,10,The user slams the target with its wings. The target is hit twice in a row.
Dynamax Cannon,Dragon,special,100,100,5,Damage doubles if opponent is Dynamaxed.
Eerie Spell,Psychic,special,80,100,5,Deals damage and reduces opponent's PP.
Esper Wing,Psychic,special,80,100,10,High critical hit ratio. Raises user's Speed.
